Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
Myanmar,2019,Female,CDM,20.8%,80.9%,63.9%,23.1%,8.6%,MMR,
Namibia,2019,Female,CDM,46.9%,79.8%,63.0%,63.4%,19.5%,NAM,
Nauru,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Female,CDM,23.9%,79.0%,55.0%,27.9%,13.5%,NPL,
Netherlands,2019,Female,CDM,6.4%,54.2%,11.6%,2.7%,6.5%,NLD,
New Caledonia,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Female,CDM,5.0%,50.0%,6.1%,2.0%,4.9%,NZL,
Nicaragua,2019,Female,CDM,9.7%,66.8%,21.5%,9.2%,4.5%,NIC,
Niger,2019,Female,CDM,60.2%,86.5%,59.2%,44.2%,24.4%,NER,
Nigeria,2019,Female,CDM,65.2%,86.6%,67.3%,54.5%,23.2%,NGA,
North Macedonia,2019,Female,CDM,1.2%,73.5%,4.1%,1.8%,0.7%,MKD,
Northern Mariana Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Female,CDM,8.4%,50.5%,5.5%,2.3%,8.7%,NOR,
Oman,2019,Female,CDM,10.1%,49.0%,29.1%,9.4%,6.1%,OMN,
Pakistan,2019,Female,CDM,33.2%,84.2%,57.8%,20.3%,12.4%,PAK,
Palau,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Female,CDM,13.1%,63.0%,18.6%,20.8%,6.9%,PAN,
Papua New Guinea,2019,Female,CDM,32.0%,85.5%,61.6%,28.7%,11.0%,PNG,
Paraguay,2019,Female,CDM,14.7%,63.4%,17.4%,12.0%,9.6%,PRY,
Peru,2019,Female,CDM,18.2%,56.9%,22.8%,13.5%,16.8%,PER,
Philippines,2019,Female,CDM,25.4%,78.8%,41.2%,17.1%,21.8%,PHL,
Poland,2019,Female,CDM,5.7%,49.0%,9.5%,3.7%,5.7%,POL,
Portugal,2019,Female,CDM,8.7%,59.9%,8.5%,4.9%,8.8%,PRT,
Puerto Rico,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Female,CDM,6.6%,49.3%,13.9%,4.7%,4.0%,QAT,
Romania,2019,Female,CDM,4.6%,60.7%,18.2%,6.9%,4.1%,ROU,
Russian Federation,2019,Female,CDM,2.7%,48.5%,11.2%,10.1%,1.3%,RUS,
Rwanda,2019,Female,CDM,38.6%,77.1%,57.9%,37.8%,19.2%,RWA,
Samoa,2019,Female,CDM,11.0%,63.2%,56.0%,9.2%,6.6%,WSM,
San Marino,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Female,CDM,29.9%,74.9%,45.8%,25.7%,15.6%,STP,
Saudi Arabia,2019,Female,CDM,8.6%,51.9%,12.8%,8.6%,5.6%,SAU,
Senegal,2019,Female,CDM,42.6%,78.8%,53.1%,40.0%,20.5%,SEN,
Serbia,2019,Female,CDM,2.4%,63.3%,10.9%,3.4%,2.1%,SRB,
Seychelles,2019,Female,CDM,13.6%,56.2%,26.7%,9.6%,12.8%,SYC,
Sierra Leone,2019,Female,CDM,55.2%,86.5%,56.9%,43.0%,22.6%,SLE,
Singapore,2019,Female,CDM,22.7%,41.5%,8.2%,6.7%,25.5%,SGP,
Sint Maarten (Dutch part),2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Female,CDM,4.8%,50.6%,14.6%,3.5%,4.6%,SVK,
Slovenia,2019,Female,CDM,3.3%,52.7%,0.3%,1.5%,3.3%,SVN,
Solomon Islands,2019,Female,CDM,27.0%,77.2%,52.5%,21.6%,21.5%,SLB,
Somalia,2019,Female,CDM,64.6%,88.2%,70.9%,55.9%,29.9%,SOM,
South Africa,2019,Female,CDM,36.7%,78.7%,68.0%,48.9%,14.2%,ZAF,
South Sudan,2019,Female,CDM,62.7%,85.9%,68.6%,63.7%,28.8%,SSD,
Spain,2019,Female,CDM,5.8%,52.5%,6.5%,3.6%,5.8%,ESP,
Sri Lanka,2019,Female,CDM,10.0%,58.2%,24.3%,11.9%,8.7%,LKA,
St. Kitts and Nevis,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Female,CDM,8.5%,71.2%,11.9%,5.4%,6.3%,LCA,
St. Martin (French part),2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Female,CDM,13.1%,51.6%,7.2%,14.0%,11.6%,VCT,
Sudan,2019,Female,CDM,34.6%,82.1%,40.6%,22.8%,5.7%,SDN,
Suriname,2019,Female,CDM,11.0%,68.5%,19.3%,13.9%,6.5%,SUR,
Sweden,2019,Female,CDM,6.1%,51.4%,8.6%,3.2%,6.1%,SWE,
Switzerland,2019,Female,CDM,5.0%,46.1%,1.1%,2.6%,4.9%,CHE,
Syrian Arab Republic,2019,Female,CDM,10.0%,69.7%,27.7%,4.3%,2.5%,SYR,
Tajikistan,2019,Female,CDM,18.6%,76.3%,31.7%,10.0%,3.4%,TJK,
Tanzania,2019,Female,CDM,54.5%,80.5%,67.2%,57.5%,25.3%,TZA,
Thailand,2019,Female,CDM,13.7%,56.9%,28.6%,20.1%,11.4%,THA,
Timor-Leste,2019,Female,CDM,38.4%,81.0%,52.4%,43.9%,18.5%,TLS,
Togo,2019,Female,CDM,50.7%,88.8%,55.4%,38.1%,22.1%,TGO,
Tonga,2019,Female,CDM,13.3%,58.6%,35.8%,10.3%,8.2%,TON,
Trinidad and Tobago,2019,Female,CDM,8.0%,61.5%,19.8%,13.8%,3.3%,TTO,
Tunisia,2019,Female,CDM,7.0%,66.0%,15.3%,6.2%,3.4%,TUN,
Turkiye,2019,Female,CDM,5.3%,50.7%,13.3%,3.5%,4.0%,TUR,
Turkmenistan,2019,Female,CDM,19.0%,75.6%,32.6%,22.0%,2.2%,TKM,
Turks and Caicos Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Female,CDM,53.5%,83.9%,65.8%,48.9%,20.9%,UGA,
Ukraine,2019,Female,CDM,2.2%,59.5%,16.7%,11.4%,0.8%,UKR,
United Arab Emirates,2019,Female,CDM,9.4%,50.4%,17.6%,5.2%,7.7%,ARE,
United Kingdom,2019,Female,CDM,8.7%,56.8%,10.7%,4.8%,8.8%,GBR,
United States,2019,Female,CDM,5.5%,50.7%,6.4%,5.2%,5.2%,USA,
Uruguay,2019,Female,CDM,7.5%,48.3%,10.6%,7.5%,7.2%,URY,
Uzbekistan,2019,Female,CDM,7.6%,65.6%,37.8%,7.2%,1.6%,UZB,
Vanuatu,2019,Female,CDM,20.2%,72.3%,38.8%,14.3%,11.2%,VUT,
"Venezuela, RB",2019,Female,CDM,17.6%,68.0%,20.5%,25.3%,9.4%,VEN,
Vietnam,2019,Female,CDM,8.6%,68.4%,38.6%,9.2%,5.5%,VNM,
Virgin Islands (U.S.),2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Female,CDM,31.1%,78.6%,25.2%,15.1%,5.4%,YEM,
Zambia,2019,Female,CDM,59.1%,83.9%,74.6%,63.3%,23.1%,ZMB,
Zimbabwe,2019,Female,CDM,47.0%,79.3%,62.5%,56.5%,19.7%,ZWE,
Afghanistan,2019,Male,Injury,20.8%,12.2%,47.0%,34.8%,12.1%,AFG,
Albania,2019,Male,Injury,4.4%,5.6%,43.2%,21.9%,1.8%,ALB,
Algeria,2019,Male,Injury,9.8%,5.7%,48.7%,30.2%,3.2%,DZA,
American Samoa,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Male,Injury,11.2%,4.8%,23.5%,21.1%,5.6%,AGO,
Antigua and Barbuda,2019,Male,Injury,7.8%,0.3%,32.2%,23.2%,2.6%,ATG,
Argentina,2019,Male,Injury,8.1%,6.1%,40.1%,27.4%,2.7%,ARG,
Armenia,2019,Male,Injury,6.7%,6.8%,41.5%,18.5%,2.8%,ARM,
Aruba,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Male,Injury,7.1%,6.3%,35.2%,24.6%,4.1%,AUS,
Austria,2019,Male,Injury,6.9%,4.9%,29.9%,22.2%,4.8%,AUT,
Azerbaijan,2019,Male,Injury,5.5%,6.6%,33.4%,13.4%,1.4%,AZE,
"Bahamas, The",2019,Male,Injury,19.0%,6.3%,66.6%,33.9%,5.8%,BHS,
Bahrain,2019,Male,Injury,12.6%,3.1%,32.6%,25.0%,1.9%,BHR,
Bangladesh,2019,Male,Injury,9.9%,5.5%,44.5%,19.2%,4.0%,BGD,
Barbados,2019,Male,Injury,5.4%,12.4%,18.6%,17.3%,2.9%,BRB,
Belarus,2019,Male,Injury,8.8%,8.1%,49.5%,21.2%,3.9%,BLR,
Belgium,2019,Male,Injury,7.0%,7.8%,32.3%,25.3%,4.6%,BEL,
Belize,2019,Male,Injury,25.8%,5.9%,51.8%,47.1%,7.2%,BLZ,
Benin,2019,Male,Injury,11.6%,4.9%,27.9%,22.5%,7.1%,BEN,
Bermuda,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Male,Injury,10.6%,7.0%,39.0%,22.6%,6.0%,BTN,
Bolivia,2019,Male,Injury,12.4%,7.3%,45.0%,34.7%,5.7%,BOL,
Bosnia and Herzegovina,2019,Male,Injury,5.6%,4.4%,52.9%,17.6%,3.1%,BIH,
Botswana,2019,Male,Injury,12.6%,6.3%,32.1%,19.1%,4.7%,BWA,
Brazil,2019,Male,Injury,16.8%,6.0%,42.8%,39.2%,4.6%,BRA,
British Virgin Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Male,Injury,7.0%,3.6%,18.0%,13.6%,2.7%,BRN,
Bulgaria,2019,Male,Injury,3.5%,6.4%,36.4%,10.7%,1.9%,BGR,
Burkina Faso,2019,Male,Injury,13.4%,5.7%,23.6%,26.0%,8.1%,BFA,
Burundi,2019,Male,Injury,15.0%,7.1%,28.0%,24.6%,8.7%,BDI,
Cabo Verde,2019,Male,Injury,19.8%,8.5%,61.1%,35.5%,8.8%,CPV,
Cambodia,2019,Male,Injury,12.1%,7.1%,37.2%,21.8%,4.8%,KHM,
Cameroon,2019,Male,Injury,13.8%,5.1%,29.8%,22.8%,8.1%,CMR,
Canada,2019,Male,Injury,6.5%,6.4%,35.4%,21.6%,3.8%,CAN,
Cayman Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Male,Injury,11.8%,2.7%,23.1%,21.5%,5.9%,CAF,
Chad,2019,Male,Injury,11.9%,5.4%,28.0%,23.9%,7.9%,TCD,
Channel Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Male,Injury,11.0%,7.0%,36.5%,32.8%,4.4%,CHL,
China,2019,Male,Injury,7.9%,13.9%,59.3%,20.9%,3.7%,CHN,
Colombia,2019,Male,Injury,21.7%,4.7%,52.1%,57.3%,6.6%,COL,
Comoros,2019,Male,Injury,14.1%,6.0%,35.6%,26.6%,8.7%,COM,
"Congo, Dem. Rep.",2019,Male,Injury,11.8%,3.7%,26.6%,26.2%,6.0%,COD,
"Congo, Rep.",2019,Male,Injury,12.5%,3.9%,25.7%,21.3%,6.4%,COG,
Costa Rica,2019,Male,Injury,15.3%,3.9%,26.7%,39.1%,5.4%,CRI,
Cote d'Ivoire,2019,Male,Injury,11.8%,4.5%,26.2%,20.3%,7.8%,CIV,
Croatia,2019,Male,Injury,6.2%,2.9%,36.6%,17.6%,4.3%,HRV,
Cuba,2019,Male,Injury,8.2%,9.0%,35.9%,18.3%,5.6%,CUB,
Curacao,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Male,Injury,6.6%,2.9%,20.4%,22.8%,4.3%,CYP,
Czechia,2019,Male,Injury,6.2%,8.2%,43.9%,19.8%,4.0%,CZE,
Denmark,2019,Male,Injury,4.2%,5.2%,43.3%,16.0%,2.8%,DNK,
Djibouti,2019,Male,Injury,13.6%,4.6%,28.9%,22.1%,7.7%,DJI,
Dominica,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Male,Injury,22.2%,7.7%,73.4%,46.4%,9.7%,DOM,
Ecuador,2019,Male,Injury,16.1%,8.7%,45.4%,40.9%,5.8%,ECU,
"Egypt, Arab Rep.",2019,Male,Injury,6.1%,3.3%,24.7%,14.3%,1.9%,EGY,
El Salvador,2019,Male,Injury,23.3%,6.0%,57.3%,50.1%,6.4%,SLV,
Equatorial Guinea,2019,Male,Injury,9.0%,2.7%,23.3%,14.1%,6.1%,GNQ,
Eritrea,2019,Male,Injury,15.3%,8.0%,29.7%,25.7%,8.7%,ERI,
Estonia,2019,Male,Injury,6.2%,13.3%,65.4%,18.8%,3.2%,EST,
Eswatini,2019,Male,Injury,17.1%,7.4%,32.9%,25.3%,4.5%,SWZ,
Ethiopia,2019,Male,Injury,15.1%,6.8%,31.5%,27.3%,10.6%,ETH,
Faroe Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Male,Injury,7.3%,10.3%,39.4%,13.2%,2.1%,FJI,
Finland,2019,Male,Injury,7.5%,6.4%,36.0%,24.4%,5.3%,FIN,
France,2019,Male,Injury,7.4%,6.7%,31.0%,19.8%,5.5%,FRA,
French Polynesia,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Male,Injury,11.5%,3.2%,26.0%,19.5%,5.8%,GAB,
"Gambia, The",2019,Male,Injury,13.6%,6.4%,32.6%,20.4%,10.6%,GMB,
Georgia,2019,Male,Injury,5.8%,7.5%,45.2%,16.2%,2.3%,GEO,
Germany,2019,Male,Injury,5.3%,4.9%,25.9%,14.0%,4.1%,DEU,
Ghana,2019,Male,Injury,12.0%,5.0%,26.2%,18.9%,6.2%,GHA,
Gibraltar,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Male,Injury,4.9%,8.7%,39.3%,15.4%,3.5%,GRC,
Greenland,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Male,Injury,8.1%,2.4%,32.7%,21.6%,3.8%,GRD,
Guam,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Male,Injury,23.2%,8.4%,40.0%,44.6%,6.8%,GTM,
Guinea,2019,Male,Injury,11.4%,4.0%,25.6%,23.9%,7.5%,GIN,
Guinea-Bissau,2019,Male,Injury,11.3%,5.6%,28.5%,17.1%,6.7%,GNB,
Guyana,2019,Male,Injury,18.1%,9.0%,49.9%,35.1%,5.7%,GUY,
Haiti,2019,Male,Injury,15.3%,8.3%,47.8%,30.9%,4.3%,HTI,
Honduras,2019,Male,Injury,25.3%,3.5%,49.5%,54.8%,11.7%,HND,
"Hong Kong SAR, China",2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Male,Injury,5.5%,6.5%,31.5%,14.3%,3.6%,HUN,
Iceland,2019,Male,Injury,6.6%,1.0%,62.0%,24.7%,3.7%,ISL,
India,2019,Male,Injury,11.2%,3.2%,26.9%,21.3%,5.9%,IND,
Indonesia,2019,Male,Injury,6.1%,4.7%,24.7%,12.0%,2.7%,IDN,
"Iran, Islamic Rep.",2019,Male,Injury,13.5%,6.0%,49.0%,33.9%,4.0%,IRN,
Iraq,2019,Male,Injury,23.2%,7.1%,66.5%,51.4%,5.2%,IRQ,
Ireland,2019,Male,Injury,5.3%,3.0%,31.1%,23.0%,2.3%,IRL,
Isle of Man,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Male,Injury,5.6%,6.3%,31.6%,20.0%,3.2%,ISR,
Italy,2019,Male,Injury,4.6%,3.4%,23.3%,15.4%,3.5%,ITA,
Jamaica,2019,Male,Injury,16.1%,2.3%,63.8%,31.5%,11.4%,JAM,
Japan,2019,Male,Injury,5.8%,9.9%,34.8%,23.5%,4.3%,JPN,
Jordan,2019,Male,Injury,14.0%,8.8%,67.4%,30.0%,3.8%,JOR,
Kazakhstan,2019,Male,Injury,11.9%,7.8%,56.5%,25.8%,3.4%,KAZ,
Kenya,2019,Male,Injury,14.2%,6.7%,21.9%,19.4%,10.3%,KEN,
Kiribati,2019,Male,Injury,7.8%,4.5%,16.5%,12.4%,1.4%,KIR,
"Korea, Dem. People's Rep.",2019,Male,Injury,9.3%,7.5%,46.1%,18.7%,3.4%,PRK,
"Korea, Rep.",2019,Male,Injury,11.8%,8.1%,36.9%,28.9%,7.3%,KOR,
Kosovo,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Male,Injury,16.0%,6.5%,51.2%,24.3%,5.9%,KWT,
Kyrgyz Republic,2019,Male,Injury,11.1%,4.9%,50.1%,22.4%,2.4%,KGZ,
Lao PDR,2019,Male,Injury,11.4%,8.5%,37.2%,21.4%,3.1%,LAO,
Latvia,2019,Male,Injury,7.8%,10.7%,48.8%,21.5%,3.6%,LVA,
Lebanon,2019,Male,Injury,7.8%,6.7%,34.6%,20.9%,2.5%,LBN,
Lesotho,2019,Male,Injury,17.8%,5.6%,23.0%,26.7%,5.8%,LSO,
Liberia,2019,Male,Injury,12.7%,4.6%,39.0%,20.1%,11.3%,LBR,
Libya,2019,Male,Injury,19.4%,6.4%,53.9%,36.1%,4.4%,LBY,
Liechtenstein,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Male,Injury,8.3%,6.5%,52.9%,22.7%,4.3%,LTU,
Luxembourg,2019,Male,Injury,7.2%,11.2%,22.9%,20.9%,5.0%,LUX,
"Macao SAR, China",2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Male,Injury,11.7%,5.1%,21.7%,19.4%,7.1%,MDG,
Malawi,2019,Male,Injury,13.4%,6.0%,26.9%,17.6%,10.8%,MWI,
Malaysia,2019,Male,Injury,11.4%,6.6%,37.7%,24.0%,5.2%,MYS,
Maldives,2019,Male,Injury,8.3%,3.8%,39.5%,22.4%,3.0%,MDV,
Mali,2019,Male,Injury,11.6%,4.9%,23.7%,26.0%,6.9%,MLI,
Malta,2019,Male,Injury,4.2%,0.0%,26.6%,18.8%,2.6%,MLT,
Marshall Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Male,Injury,12.8%,5.7%,38.1%,28.9%,7.2%,MRT,
Mauritius,2019,Male,Injury,6.3%,3.1%,27.1%,14.7%,2.4%,MUS,
Mexico,2019,Male,Injury,15.3%,7.4%,37.6%,34.9%,4.1%,MEX,
"Micronesia, Fed. Sts.",2019,Male,Injury,10.5%,4.7%,28.1%,17.2%,2.3%,FSM,
Moldova,2019,Male,Injury,9.1%,6.4%,54.8%,20.0%,4.0%,MDA,
Monaco,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Male,Injury,14.8%,6.9%,59.4%,25.0%,2.7%,MNG,
Montenegro,2019,Male,Injury,6.3%,3.1%,57.9%,19.7%,3.5%,MNE,
Morocco,2019,Male,Injury,9.4%,6.6%,48.1%,24.8%,3.7%,SEP,
Mozambique,2019,Male,Injury,12.0%,4.9%,20.9%,17.3%,9.1%,MOZ,
Myanmar,2019,Male,Injury,9.5%,7.3%,33.6%,17.0%,4.1%,MMR,
Namibia,2019,Male,Injury,16.1%,7.0%,34.7%,25.4%,5.3%,NAM,
Nauru,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Male,Injury,10.6%,6.4%,31.4%,23.6%,5.1%,NPL,
Netherlands,2019,Male,Injury,5.9%,4.5%,24.0%,17.9%,4.5%,NLD,
New Caledonia,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Male,Injury,7.4%,12.6%,52.7%,27.8%,3.7%,NZL,
Nicaragua,2019,Male,Injury,12.8%,3.7%,38.8%,33.1%,4.7%,NIC,
Niger,2019,Male,Injury,12.5%,5.9%,25.6%,25.2%,7.3%,NER,
Nigeria,2019,Male,Injury,9.1%,4.9%,23.1%,16.4%,7.0%,NGA,
North Macedonia,2019,Male,Injury,3.5%,2.6%,39.3%,12.1%,1.9%,MKD,
Northern Mariana Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Male,Injury,6.6%,2.9%,28.1%,23.0%,4.6%,NOR,
Oman,2019,Male,Injury,14.5%,5.8%,39.7%,28.8%,3.2%,OMN,
Pakistan,2019,Male,Injury,8.0%,5.5%,15.9%,17.2%,2.8%,PAK,
Palau,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Male,Injury,13.1%,2.8%,37.1%,37.0%,3.7%,PAN,
Papua New Guinea,2019,Male,Injury,8.7%,4.9%,26.9%,14.7%,2.4%,PNG,
Paraguay,2019,Male,Injury,14.8%,7.2%,44.2%,35.8%,4.1%,PRY,
Peru,2019,Male,Injury,14.0%,9.2%,40.4%,34.9%,4.7%,PER,
Philippines,2019,Male,Injury,8.6%,6.1%,22.5%,19.5%,2.3%,PHL,
Poland,2019,Male,Injury,6.0%,5.0%,35.9%,18.0%,3.1%,POL,
Portugal,2019,Male,Injury,5.9%,3.7%,22.0%,17.3%,4.2%,PRT,
Puerto Rico,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Male,Injury,25.2%,5.9%,40.7%,40.3%,3.8%,QAT,
Romania,2019,Male,Injury,5.3%,9.2%,42.8%,14.9%,2.9%,ROU,
Russian Federation,2019,Male,Injury,10.4%,8.2%,59.5%,22.7%,3.9%,RUS,
Rwanda,2019,Male,Injury,14.7%,6.6%,31.4%,22.8%,9.0%,RWA,
Samoa,2019,Male,Injury,10.9%,4.6%,28.0%,21.1%,2.8%,WSM,
San Marino,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Male,Injury,16.2%,9.0%,44.3%,27.4%,9.1%,STP,
Saudi Arabia,2019,Male,Injury,24.7%,6.2%,46.5%,38.0%,7.1%,SAU,
Senegal,2019,Male,Injury,14.8%,7.6%,30.9%,25.9%,8.9%,SEN,
Serbia,2019,Male,Injury,3.4%,4.8%,30.7%,11.7%,1.9%,SRB,
Seychelles,2019,Male,Injury,11.0%,8.8%,40.3%,22.0%,4.0%,SYC,
Sierra Leone,2019,Male,Injury,11.5%,4.9%,26.6%,21.6%,6.9%,SLE,
Singapore,2019,Male,Injury,5.3%,4.6%,35.0%,14.6%,2.5%,SGP,
Sint Maarten (Dutch part),2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Male,Injury,8.3%,2.8%,34.2%,22.0%,4.9%,SVK,
Slovenia,2019,Male,Injury,8.7%,2.7%,36.3%,23.0%,6.4%,SVN,
Solomon Islands,2019,Male,Injury,12.7%,4.8%,35.2%,23.0%,2.5%,SLB,
Somalia,2019,Male,Injury,11.4%,5.1%,25.1%,20.9%,8.0%,SOM,
South Africa,2019,Male,Injury,18.3%,7.0%,24.9%,27.2%,5.1%,ZAF,
South Sudan,2019,Male,Injury,13.3%,6.2%,27.8%,22.5%,11.2%,SSD,
Spain,2019,Male,Injury,4.4%,5.7%,19.0%,14.8%,3.0%,ESP,
Sri Lanka,2019,Male,Injury,10.9%,5.6%,36.8%,30.7%,4.9%,LKA,
St. Kitts and Nevis,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Male,Injury,13.3%,2.1%,61.5%,37.2%,4.6%,LCA,
St. Martin (French part),2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Male,Injury,11.5%,2.4%,43.4%,27.2%,2.7%,VCT,
Sudan,2019,Male,Injury,13.3%,7.2%,39.2%,29.1%,5.5%,SDN,
Suriname,2019,Male,Injury,12.4%,8.5%,45.6%,24.6%,5.3%,SUR,
Sweden,2019,Male,Injury,6.3%,4.4%,27.3%,27.2%,4.2%,SWE,
Switzerland,2019,Male,Injury,6.7%,4.1%,33.8%,21.5%,5.0%,CHE,
Syrian Arab Republic,2019,Male,Injury,16.3%,8.6%,39.3%,27.0%,10.4%,SYR,
Tajikistan,2019,Male,Injury,9.6%,7.0%,38.6%,24.0%,2.0%,TJK,
Tanzania,2019,Male,Injury,14.2%,7.2%,27.5%,21.6%,10.0%,TZA,
Thailand,2019,Male,Injury,13.4%,6.0%,57.3%,28.0%,5.0%,THA,
Timor-Leste,2019,Male,Injury,8.7%,5.7%,33.6%,17.3%,3.3%,TLS,
Togo,2019,Male,Injury,12.8%,4.1%,28.5%,23.2%,6.4%,TGO,
Tonga,2019,Male,Injury,11.8%,9.5%,63.3%,25.7%,4.3%,TON,
Trinidad and Tobago,2019,Male,Injury,14.8%,4.8%,38.4%,39.2%,3.2%,TTO,
Tunisia,2019,Male,Injury,9.4%,3.8%,51.7%,27.4%,3.4%,TUN,
Turkiye,2019,Male,Injury,6.3%,3.7%,35.4%,18.7%,2.2%,TUR,
Turkmenistan,2019,Male,Injury,7.6%,5.4%,38.2%,12.8%,2.9%,TKM,
Turks and Caicos Islands,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Male,Injury,16.7%,5.7%,30.1%,26.2%,11.6%,UGA,
Ukraine,2019,Male,Injury,8.1%,5.0%,46.6%,20.0%,2.8%,UKR,
United Arab Emirates,2019,Male,Injury,17.9%,5.0%,31.6%,26.0%,3.0%,ARE,
United Kingdom,2019,Male,Injury,4.5%,4.3%,23.8%,16.4%,2.8%,GBR,
United States,2019,Male,Injury,8.7%,11.7%,48.9%,24.1%,4.4%,USA,
Uruguay,2019,Male,Injury,10.1%,6.9%,46.2%,34.1%,4.3%,URY,
Uzbekistan,2019,Male,Injury,9.0%,7.8%,41.8%,19.4%,1.7%,UZB,
Vanuatu,2019,Male,Injury,11.8%,4.0%,33.3%,21.2%,2.7%,VUT,
"Venezuela, RB",2019,Male,Injury,28.7%,7.9%,64.2%,59.3%,10.3%,VEN,
Vietnam,2019,Male,Injury,11.3%,6.3%,41.3%,23.3%,5.4%,VNM,
Virgin Islands (U.S.),2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Male,Injury,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Male,Injury,24.2%,7.9%,55.6%,49.8%,5.1%,YEM,
Zambia,2019,Male,Injury,11.2%,5.9%,18.8%,16.5%,7.0%,ZMB,
Zimbabwe,2019,Male,Injury,18.0%,7.8%,35.3%,26.9%,9.0%,ZWE,
